"","log2FoldChange","logCPM","LR","pvalue","padj","identifier","gene","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other"
"15",2.00220733119935,-1.25172180945258,21.306931358422,3.91314025503747e-06,0.0302524873116947,"ENSG00000126337","KRT36",9606,8689,"NULL","17","17q12-q21","keratin 36","protein-coding","KRT36","keratin 36","O","K36|hair keratin, type I Ha6|keratin, ha"
"16",0.0791118399146199,-1.94145475857832,0.0412370457134941,0.839081049439776,1,"ENSG00000277539","RP11-298C2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",-1.14811938380484,0.0456565374102827,60.9509766115441,5.8513898665766e-15,5.29316727330519e-11,"ENSG00000215388","ACTG1P3",9606,75,"NULL","20","20p13","actin, gamma 1 pseudogene 3","pseudo","ACTG1P3","actin, gamma 1 pseudogene 3","O","NULL"
"18",-0.297732538373114,-1.96522512591418,1.34459894589013,0.246224560337015,1,"ENSG00000279299","AP000648.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-1.0590626514367,-0.721162404092205,23.1919344953757,1.46610942948041e-06,0.0114942979271264,"ENSG00000254968","RP11-65M17.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0,-1.97480200150664,0,1,1,"ENSG00000274479","AC231759.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0,-1.97480200150664,0,1,1,"ENSG00000265375","MIR4679-1",9606,100616128,"NULL","10","NULL","microRNA 4679-1","miscRNA","MIR4679-1","microRNA 4679-1","O","NULL"
"22",1.04571476180436,10.151242432099,183.086469294243,1.0269510672012e-41,1.01206027672678e-37,"ENSG00000130726","TRIM28",9606,10155,"NULL","19","19q13.4","tripartite motif containing 28","protein-coding","TRIM28","tripartite motif containing 28","O","E3 SUMO-protein ligase TRIM28|KAP-1|KRAB"
"23",0.226904437629643,9.01738055709565,8.23079306185468,0.00411855286883013,1,"ENSG00000129003","VPS13C",9606,54832,"NULL","15","15q22.2","vacuolar protein sorting 13 homolog C (S. cerevisiae)","protein-coding","VPS13C","vacuolar protein sorting 13 homolog C (S. cerevisiae)","O","vacuolar protein sorting-associated prot"
"24",0.876169048373708,7.06180252092866,107.870744600554,2.86890978341311e-25,2.74009573413786e-21,"ENSG00000120254","MTHFD1L",9606,25902,"RP1-292B18.2","6","6q25.1","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like","protein-coding","MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like","O","10-formyl-THF synthetase|formyltetrahydr"
"25",-3.30034099227527,0.652861993373776,75.4340010336273,3.77827354551873e-18,3.49339172018661e-14,"ENSG00000223609","HBD",9606,3045,"NULL","11","11p15.5","hemoglobin, delta","protein-coding","HBD","hemoglobin, delta","O","delta globin|delta-globin chain|hemoglob"
"26",-3.30034099227527,0.652861993373776,75.4340010336273,3.77827354551873e-18,3.49339172018661e-14,"ENSG00000223609","HBD",9606,100187828,"NULL","NULL","NULL","hypophosphatemic bone disease","unknown","NULL","NULL","NULL","NULL"
"27",0.460683195947889,-1.87982561825698,1.07343178904391,0.300171570555531,1,"ENSG00000229723","LINC01054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0.140238318758504,-1.96757687453737,0.647098836923913,0.421151834667324,1,"ENSG00000237365","RP11-334N17.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0,-1.97480200150664,0,1,1,"ENSG00000236026","AC009237.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",-0.901306852668024,-1.95972059406821,11.2879909696035,0.000780100527568541,1,"ENSG00000244632","RN7SL863P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",-0.333263820619878,-1.72115704645187,0.655896127678474,0.418012514141389,1,"ENSG00000225689","RP1-30E17.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",-1.00509957102613,-1.69296676707327,3.78833381046721,0.0516110002459612,1,"ENSG00000271390","RP11-89C3.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",-0.449205413033528,-1.14621888998733,3.15321054182948,0.075777731590381,1,"ENSG00000227375","DLG1-AS1",9606,100507086,"NULL","3","NULL","DLG1 antisense RNA 1","miscRNA","DLG1-AS1","DLG1 antisense RNA 1","O","NULL"
"34",0.869922862637554,8.63679256594898,137.008374128929,1.20077626915746e-31,1.16571360209807e-27,"ENSG00000105197","TIMM50",9606,92609,"PRO1512","19","19q13.2","translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)","protein-coding","TIMM50","translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)","O","Tim50-like protein|homolog of yeast Tim5"
"35",-0.0381059169822698,-1.95155296795312,0.0128569059963795,0.909722717166054,1,"ENSG00000196406","SPANXD",9606,64648,"NULL","X","Xq27.1","SPANX family, member D","protein-coding","SPANXD","SPANX family, member D","O","SPAN-Xd protein|cancer/testis antigen 11"
"36",0.268851447395647,-1.96005977882088,1.29208780319683,0.255663551362274,1,"ENSG00000270762","FXYD6P1",9606,100128934,"NULL","10","10q11.21","FXYD domain containing ion transport regulator 6 pseudogene 1","pseudo","FXYD6P1","FXYD domain containing ion transport regulator 6 pseudogene 1","O","NULL"
"37",0,-1.97480200150664,0,1,1,"ENSG00000278038","MIR6076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",-0.443958111673928,11.4637752391034,24.9039064794176,6.02601915660069e-07,0.00477742798735303,"ENSG00000127603","MACF1",9606,23499,"NULL","1","1p32-p31","microtubule-actin crosslinking factor 1","protein-coding","MACF1","microtubule-actin crosslinking factor 1","O","620 kDa actin binding protein|actin cros"
"39",-0.856566827352081,7.20622154779415,30.3922982667199,3.52926616364599e-08,0.000288588094201332,"ENSG00000196189","SEMA4A",9606,64218,"RP11-54H19.2","1","1q22","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A","protein-coding","SEMA4A","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A","O","sema B|semaphorin-4A|semaphorin-B"
"40",0.349246209246711,-0.48649073016801,2.36918488685185,0.123751652690111,1,"ENSG00000280266","RP11-331D5.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",0,-1.97480200150664,0,1,1,"ENSG00000242362","CT47A2",9606,728090,"RP6-166C19.2","X","Xq24","cancer/testis antigen family 47, member A2","protein-coding","CT47A2","cancer/testis antigen family 47, member A2","O","cancer/testis CT47 family, member 2|canc"
"42",0.629362831930931,7.4911975758713,85.9385973329312,1.85610393606256e-20,1.73749889454816e-16,"ENSG00000100890","KIAA0391",9606,9692,"NULL","14","14q13.2","KIAA0391","protein-coding","KIAA0391","KIAA0391","O","mitochondrial RNase P protein 3|mitochon"
"43",0,-1.97480200150664,0,1,1,"ENSG00000207317","Y_RNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.0719912201985379,-1.97112290466813,0.32394058752498,0.569249064360743,1,"ENSG00000231368","RP11-461H3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",-1.74338594242236,0.891936739285454,43.6787557837951,3.86949477823536e-11,3.34982162951835e-07,"ENSG00000169894","MUC3A",9606,4584,"NULL","7","7q22","mucin 3A, cell surface associated","protein-coding","MUC3A","mucin 3A, cell surface associated","O","mucin 3, intestinal|mucin 3A, intestinal"
"46",0.216712914462591,-1.57137719480049,0.389005985733945,0.532822361053727,1,"ENSG00000213538","KRT8P41",9606,283102,"NULL","11","11p15.4","keratin 8 pseudogene 41","pseudo","KRT8P41","keratin 8 pseudogene 41","O","NULL"
"47",-1.23257906634084,-1.66106172568466,8.05542894941193,0.00453675004432131,1,"ENSG00000183668","PSG9",9606,5678,"NULL","19","19q13.2","pregnancy specific beta-1-glycoprotein 9","protein-coding","PSG9","pregnancy specific beta-1-glycoprotein 9","O","PS-beta-B|PS-beta-G-11|PS-beta-G-9|pregn"
"48",-0.772921201367654,2.44419566535166,33.2798073914738,7.98070382275503e-09,6.63036873594488e-05,"ENSG00000271553","RP11-274B21.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1.45641580388116,7.75441556447212,47.7947414379749,4.73259710443616e-12,4.14717484261741e-08,"ENSG00000095970","TREM2",9606,54209,"RP1-238O23.2","6","6p21.1","triggering receptor expressed on myeloid cells 2","protein-coding","TREM2","triggering receptor expressed on myeloid cells 2","O","triggering receptor expressed on monocyt"
"50",0.578418264785461,-0.151308039749316,10.2230278702688,0.00138697965781446,1,"ENSG00000215414","PSMA6P1",9606,64596,"NULL","Y","Yq11.221","proteasome (prosome, macropain) subunit, alpha type, 6 pseudogene 1","pseudo","PSMA6P1","proteasome (prosome, macropain) subunit, alpha type, 6 pseudogene 1","O","NULL"
"51",0,-1.97480200150664,0,1,1,"ENSG00000226860","AC109638.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1.15630788001905,6.99501768556087,294.115375433615,6.30775234025269e-66,6.28630598229583e-62,"ENSG00000182197","EXT1",9606,2131,"NULL","8","8q24.11","exostosin glycosyltransferase 1","protein-coding","EXT1","exostosin glycosyltransferase 1","O","Glucuronosyl-N-acetylglucosaminyl-proteo"
"53",-1.01814881842423,-1.3858822661752,12.7383268041189,0.00035823803443824,1,"ENSG00000234835","PHBP13",9606,100418843,"NULL","13","NULL","prohibitin pseudogene 13","pseudo","PHBP13","prohibitin pseudogene 13","O","NULL"
"54",0.231494096226239,-0.7707143727783,0.995509910772427,0.31839942267085,1,"ENSG00000248794","CTD-2248H3.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",-0.486226747439876,-1.85716846310392,1.40432938930118,0.236000032659871,1,"ENSG00000250129","RP11-265F19.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",0.0707453720010597,-1.97155302010084,0.323658177591296,0.56941746351145,1,"ENSG00000271243","RP11-355B11.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",-1.66314148703047,-1.40433849742105,34.3335034923085,4.64319367582813e-09,3.87892399678682e-05,"ENSG00000273580","RP11-609L3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",0,-1.97480200150664,0,1,1,"ENSG00000207597","MIR490",9606,574443,"NULL","7","7q33","microRNA 490","miscRNA","MIR490","microRNA 490","O","NULL"
"59",0.114856349915869,7.54862864775733,4.34855252918646,0.0370404148334655,1,"ENSG00000104731","KLHDC4",9606,54758,"NULL","16","16q24.3","kelch domain containing 4","protein-coding","KLHDC4","kelch domain containing 4","O","kelch domain-containing protein 4"
"60",-2.32679799657553,2.89332931974995,73.4626590191667,1.02558129919692e-17,9.45996190379235e-14,"ENSG00000156463","SH3RF2",9606,153769,"NULL","5","5q32","SH3 domain containing ring finger 2","protein-coding","SH3RF2","SH3 domain containing ring finger 2","O","POSH-eliminating RING protein|RING finge"
"61",-0.871521291392106,-1.68966322594683,3.44296018422473,0.0635217862537501,1,"ENSG00000197503","LINC00477",9606,144360,"NULL","12","12p12.1","long intergenic non-protein coding RNA 477","miscRNA","LINC00477","long intergenic non-protein coding RNA 477","O","NULL"
"62",-4.42034548108905,2.66911044464274,215.59338703956,8.27221107623275e-49,8.19610673433141e-45,"ENSG00000189127","ANKRD34B",9606,340120,"NULL","5","5q14.1","ankyrin repeat domain 34B","protein-coding","ANKRD34B","ankyrin repeat domain 34B","O","ankyrin repeat domain-containing protein"
"63",-1.429378871157,2.14733983927597,62.8428937758859,2.23869882306469e-15,2.03072370240198e-11,"ENSG00000105219","CNTD2",9606,79935,"NULL","19","19q13.2","cyclin N-terminal domain containing 2","protein-coding","CNTD2","cyclin N-terminal domain containing 2","O","cyclin N-terminal domain-containing prot"
"64",0,-1.97480200150664,0,1,1,"ENSG00000249429","CTD-2050E21.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",-0.49499332013357,-1.92038519354731,1.23671056956802,0.26610595032102,1,"ENSG00000241635","UGT1A1",9606,54658,"NULL","2","2q37","UDP glucuronosyltransferase 1 family, polypeptide A1","protein-coding","UGT1A1","UDP glucuronosyltransferase 1 family, polypeptide A1","O","UDP glycosyltransferase 1 family, polype"
"66",-2.26407510844033,-1.84065185350885,40.849231134717,1.64437938926878e-10,1.40824650896978e-06,"ENSG00000249505","RP11-434H6.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",0,-1.97480200150664,0,1,1,"ENSG00000280897","AL590222.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",-0.303467911462247,-1.96533185730537,1.35033997473888,0.245218690764941,1,"ENSG00000206107","KRTAP27-1",9606,643812,"NULL","21","21q22.11","keratin associated protein 27-1","protein-coding","KRTAP27-1","keratin associated protein 27-1","O","keratin-associated protein 27-1"
"69",0.887859202671367,-1.91653746694253,5.25573626014051,0.0218745447551538,1,"ENSG00000263567","RP11-805L22.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",-1.15435435972965,0.109169827171372,42.7001945129315,6.3805944354399e-11,5.49815822501857e-07,"ENSG00000235475","LINC01372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",0,-1.97480200150664,0,1,1,"ENSG00000207974","MIR557",9606,693142,"NULL","1","1q24.2","microRNA 557","miscRNA","MIR557","microRNA 557","O","NULL"
"72",0,-1.97480200150664,0,1,1,"ENSG00000230864","RP5-936J12.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",-1.90249153026327,0.562883537438907,99.2167652483733,2.26322975280047e-23,2.14803135838293e-19,"ENSG00000273319","RP11-138A9.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",-0.519919492564112,-1.27528469643195,3.85637531275117,0.0495572816715099,1,"ENSG00000273903","RP11-686G8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",0.140303626678364,-1.96750320752568,0.647119144852086,0.421144547327273,1,"ENSG00000224946","AC007312.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",0,-1.97480200150664,0,1,1,"ENSG00000278544","MIR1539",9606,100302257,"NULL","18","NULL","microRNA 1539","miscRNA","MIR1539","microRNA 1539","O","NULL"
"77",0.571084722005036,6.01873056470999,9.71917378558439,0.00182355475791375,1,"ENSG00000243232","PCDHAC2",9606,56134,"NULL","5","5q31","protocadherin alpha subfamily C, 2","protein-coding","PCDHAC2","protocadherin alpha subfamily C, 2","O","protocadherin alpha-C2"
"78",0.0707453720010597,-1.97155302010084,0.323658177591296,0.56941746351145,1,"ENSG00000224486","HCG19P",9606,414776,"NULL","6","6p21.3","HLA complex group 19 pseudogene","pseudo","HCG19P","HLA complex group 19 pseudogene","O","NULL"
"79",-0.399604521185709,3.50167418395654,19.6400155118182,9.34905604700865e-06,0.0711463165177358,"ENSG00000227855","DPY19L2P3",9606,442524,"NULL","7","7p15.1","dpy-19-like 2 pseudogene 3 (C. elegans)","pseudo","DPY19L2P3","dpy-19-like 2 pseudogene 3 (C. elegans)","O","NULL"
"80",-0.0523563066974653,-1.90554179032922,0.0220399367323694,0.881980907237805,1,"ENSG00000234261","RP11-146I2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",0,-1.97480200150664,0,1,1,"ENSG00000236690","AC007274.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",0.0729196337919149,-1.97073399244817,0.324145063393235,0.569127197416112,1,"ENSG00000233442","PPP6R2P1",9606,100631381,"NULL","21","21q11.2","protein phosphatase 6, regulatory subunit 2 pseudogene 1","pseudo","PPP6R2P1","protein phosphatase 6, regulatory subunit 2 pseudogene 1","O","NULL"
"83",0,-1.97480200150664,0,1,1,"ENSG00000260399","RP11-529J17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",0.119739872465462,6.21637556705377,0.467747411858909,0.494025293719104,1,"ENSG00000188290","HES4",9606,57801,"NULL","1","1p36.33","hairy and enhancer of split 4 (Drosophila)","protein-coding","HES4","hairy and enhancer of split 4 (Drosophila)","O","bHLH factor Hes4|class B basic helix-loo"
"85",0.227650806419756,7.59552156356469,7.46087568289536,0.00630543262775028,1,"ENSG00000130669","PAK4",9606,10298,"NULL","19","19q13.2","p21 protein (Cdc42/Rac)-activated kinase 4","protein-coding","PAK4","p21 protein (Cdc42/Rac)-activated kinase 4","O","PAK-4|p21(CDKN1A)-activated kinase 4|p21"
"86",0.979696595271481,11.6111929689002,36.9617456116057,1.2046978203421e-09,1.01712636971484e-05,"ENSG00000184221","OLIG1",9606,116448,"NULL","21","21q22.11","oligodendrocyte transcription factor 1","protein-coding","OLIG1","oligodendrocyte transcription factor 1","O","basic domain, helix-loop-helix protein, "
"87",-1.74917963053496,-1.74435560676047,20.0755128883158,7.44437500293331e-06,0.0569196912724281,"ENSG00000279884","RP11-483E17.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",0.357782030862586,10.3481066208873,66.7133711524428,3.1399800934156e-16,2.86868581334449e-12,"ENSG00000169564","PCBP1",9606,5093,"NULL","2","2p13-p12","poly(rC) binding protein 1","protein-coding","PCBP1","poly(rC) binding protein 1","O","alpha-CP1|heterogeneous nuclear ribonucl"
"89",0,-1.97480200150664,0,1,1,"ENSG00000211991","AL158141.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",-0.0972091981105774,-1.95456595609152,0.0898865344756601,0.764321453103567,1,"ENSG00000251598","RP11-789C2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",-0.460216040178405,-0.123101377854317,7.09437813328637,0.00773261175221389,1,"ENSG00000249604","RP11-286E11.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",-1.35491537345026,-1.66620560813741,14.7329196119681,0.000123864573985089,0.896531786504072,"ENSG00000042813","ZPBP",9606,11055,"NULL","7","7p14.3","zona pellucida binding protein","protein-coding","ZPBP","zona pellucida binding protein","O","zona pellucida binding protein 1|zona pe"
"93",-3.8969226533678,4.78700888077213,317.26942618615,5.69753742679076e-71,5.68671210567986e-67,"ENSG00000280334","RP11-361L15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",0,-1.97480200150664,0,1,1,"ENSG00000266868","MIR4517",9606,100616487,"NULL","16","NULL","microRNA 4517","miscRNA","MIR4517","microRNA 4517","O","NULL"
"95",-1.37014593948531,-0.95778882022102,43.2536527115558,4.80839237987506e-11,4.15300849849809e-07,"ENSG00000227788","AC012363.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",-0.836515254786428,-1.93526208868236,4.05678445042349,0.0439941983029227,1,"ENSG00000229477","FAM90A16P",9606,441323,"NULL","8","8p23.1","family with sequence similarity 90, member A16, pseudogene","pseudo","FAM90A16P","family with sequence similarity 90, member A16, pseudogene","O","NULL"
"97",-0.712067632866731,-1.00640673869168,7.3037592465561,0.00688104951627057,1,"ENSG00000187583","PLEKHN1",9606,84069,"NULL","1","1p36.33","pleckstrin homology domain containing, family N member 1","protein-coding","PLEKHN1","pleckstrin homology domain containing, family N member 1","O","PH domain-containing family N member 1|p"
"98",0,-1.97480200150664,0,1,1,"ENSG00000252806","RNA5SP420",9606,100873671,"NULL","16","NULL","RNA, 5S ribosomal pseudogene 420","rRNA","RNA5SP420","RNA, 5S ribosomal pseudogene 420","O","NULL"
"99",-0.618752453955379,-1.92670487603117,2.44108635927608,0.118194344698476,1,"ENSG00000280086","RP11-544P1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",0.0400368438311159,1.1642512959449,0.10359434406061,0.747558187167602,1,"ENSG00000224358","RP11-466F5.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",-1.37005069541474,1.39247985896438,111.120741729176,5.56744535522039e-26,5.33416939483665e-22,"ENSG00000271757","RP11-111M22.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",-0.332790664574889,-1.92721240272147,0.738183036027884,0.390243538814342,1,"ENSG00000237251","AC072061.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",-1.75470611122272,-1.45883136880281,16.9403433167821,3.85730321897413e-05,0.286404764008829,"ENSG00000235008","RP3-497J21.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",-0.0748980992754096,8.28643188684297,0.655374517663631,0.418197677661094,1,"ENSG00000068366","ACSL4",9606,2182,"NULL","X","Xq22.3-q23","acyl-CoA synthetase long-chain family member 4","protein-coding","ACSL4","acyl-CoA synthetase long-chain family member 4","O","LACS 4|acyl-CoA synthetase 4|fatty-acid-"
"105",0,-1.97480200150664,0,1,1,"ENSG00000202417","Y_RNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",-0.304299871408799,-1.83512719576659,0.541615283127356,0.461764070672223,1,"ENSG00000260338","LINC01570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",0.848975448509974,4.13153257644858,146.146468557799,1.20592704288825e-33,1.17565827411176e-29,"ENSG00000228638","FCF1P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",0.926437452416489,10.6589845744347,108.582861887061,2.00299121600733e-25,1.91505990162461e-21,"ENSG00000196498","NCOR2",9606,9612,"NULL","12","12q24","nuclear receptor corepressor 2","protein-coding","NCOR2","nuclear receptor corepressor 2","O","CTG repeat protein 26|T3 receptor-associ"
"109",-0.581232782648434,-1.9398136231721,2.3985367904691,0.121448799193027,1,"ENSG00000223659","RP5-857K21.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",-1.34622256975863,4.00262989695956,70.4864347250349,4.63442316198587e-17,4.25393702038683e-13,"ENSG00000148935","GAS2",9606,2620,"NULL","11","11p14.3","growth arrest-specific 2","protein-coding","GAS2","growth arrest-specific 2","O","GAS-2|growth arrest-specific protein 2"
"111",0.0887845437987385,4.19030036283388,0.107770713728996,0.74269656167362,1,"ENSG00000149972","CNTN5",9606,53942,"NULL","11","11q22.1","contactin 5","protein-coding","CNTN5","contactin 5","O","contactin-5|neural adhesion molecule|neu"
"112",-1.80827140948234,-0.952606112488478,47.4184483859398,5.73404899804252e-12,5.0167194683874e-08,"ENSG00000231964","RP11-67C2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",0.120464251792342,10.5167577197918,1.06599820799087,0.301851108487244,1,"ENSG00000116016","EPAS1",9606,2034,"NULL","2","2p21-p16","endothelial PAS domain protein 1","protein-coding","EPAS1","endothelial PAS domain protein 1","O","EPAS-1|HIF-1-alpha-like factor|HIF-1alph"
"114",0.438677385225438,4.86823466752921,8.5509984185698,0.00345332770180778,1,"ENSG00000270276","HIST2H4B",9606,554313,"NULL","1","1q21","histone cluster 2, H4b","protein-coding","HIST2H4B","histone cluster 2, H4b","O","histone 2, H4b|histone H4"
"115",0.11545314464475,6.36842129302716,1.67226429750187,0.195955524786638,1,"ENSG00000259943","RP1-39G22.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",-0.50680320765175,3.44083591292968,13.3854828004374,0.000253579368772639,1,"ENSG00000005961","ITGA2B",9606,3674,"NULL","17","17q21.32","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","protein-coding","ITGA2B","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","O","GPalpha IIb|integrin alpha-IIb|platelet "
"117",0.368152377516907,-1.92098707471981,0.7923257621609,0.373397791355687,1,"ENSG00000258563","PSMA3P",9606,326617,"NULL","14","14q23.1","proteasome (prosome, macropain) subunit, alpha type, 3 pseudogene","pseudo","PSMA3P","proteasome (prosome, macropain) subunit, alpha type, 3 pseudogene","O","NULL"
"118",1.34753531176003,1.36452414437651,52.1494395387289,5.14335295979744e-13,4.56729742830012e-09,"ENSG00000230992","FAM201B",9606,339742,"NULL","2","2q21.2","family with sequence similarity 201, member B","unknown","FAM201B","family with sequence similarity 201, member B","O","NULL"
