"log2FoldChange","logCPM","LR","pvalue","padj","identifier","gene","chrom","strand","Symbol"
-2.21105169215885,0.482253166358264,172.332157019608,2.28991798309582e-39,2.24938643479502e-35,"ENSG00000185168","LINC00482","chr17","-","LINC00482"
-1.03727552097288,6.98734474328767,32.4166265108872,1.24417399180902e-08,0.000102905630862524,"ENSG00000149571","KIRREL3","chr11","-","KIRREL3"
-2.35129055385979,4.00572253151712,35.8691350124729,2.11025308123277e-09,1.77472284131676e-05,"ENSG00000070729","CNGB1","chr16","-","CNGB1"
1.75452120483612,9.1187989292935,53.6089386895593,2.44643775886452e-13,2.17855282426885e-09,"ENSG00000272398","CD24","chr6","-","CD24"
-1.70365751195907,2.70767262497629,46.9179831545187,7.40203864583727e-12,6.46346014554511e-08,"ENSG00000179546","HTR1D","chr1","-","HTR1D"
4.37913600542607,6.15035771552588,51.5113434666542,7.1184608201451e-13,6.31051551705863e-09,"ENSG00000198691","ABCA4","chr1","-","ABCA4"
1.12525117045059,9.17739378406933,330.190430098045,8.73597664039153e-74,8.7219990777669e-70,"ENSG00000112473","SLC39A7","chr6","+","SLC39A7"
-2.97463635988956,-1.67320241331274,30.1585769038326,3.98122589762677e-08,0.000325186531318155,"ENSG00000251573","CTD-2089N3.2","chr5","-","CTD-2089N3.2"
-2.26421582802537,2.22891974374629,269.599838021176,1.387148787469e-60,1.38132276256163e-56,"ENSG00000181392","SYNE4","chr19","-","SYNE4"
-2.20410920477601,6.50403161824214,165.397694209376,7.48919559301667e-38,7.34390519851215e-34,"ENSG00000133256","PDE6B","chr4","+","PDE6B"
-2.37036049574161,3.54355939347647,83.2438710388992,7.25300517475508e-20,6.76270202494164e-16,"ENSG00000140057","AK7","chr14","+","AK7"
-2.85232693404762,-1.62468973352091,72.15822876597,1.98615767247676e-17,1.82845675328211e-13,"ENSG00000161652","IZUMO2","chr19","-","IZUMO2"
-1.88900433379942,11.1114954951995,34.2747190569445,4.78558148179237e-09,3.99643909544481e-05,"ENSG00000070808","CAMK2A","chr5","-","CAMK2A"
-1.04583018981701,7.18146952526908,28.4045016804012,9.84361495152357e-08,0.000797135938774378,"ENSG00000137198","GMPR","chr6","+","GMPR"
-1.97462234280639,-1.79254780844994,31.342849872998,2.16253648587981e-08,0.000177825375233897,"ENSG00000225522","RP11-203F10.1","chr1","+","RP11-203F10.1"
1.2134784324629,2.8252332232063,38.3229765725212,5.99525787183879e-10,5.08218009795774e-06,"ENSG00000106258","CYP3A5","chr7","-","CYP3A5"
1.03978576294716,7.94760906199674,53.7101882337098,2.32355199571796e-13,2.06982011778556e-09,"ENSG00000100918","REC8","chr14","+","REC8"
-2.62796783862641,9.56780767746627,70.304964877334,5.08096564044084e-17,4.6633102647966e-13,"ENSG00000181418","DDN","chr12","-","DDN"
-4.12385571199007,-1.23301732840379,51.5704712528754,6.90726939879006e-13,6.1260572297869e-09,"ENSG00000103310","ZP2","chr16","-","ZP2"
2.59446919022112,6.38285729015172,104.514629444463,1.56037056706672e-24,1.48703315041459e-20,"ENSG00000113739","STC2","chr5","-","STC2"
1.87839406742736,5.82970527262744,50.0219190591706,1.52038089956297e-12,1.3424963343141e-08,"ENSG00000128045","RASL11B","chr4","+","RASL11B"
-1.68891551679803,-1.44579316293229,39.4346333943565,3.39226731894029e-10,2.88987252900523e-06,"ENSG00000243680","RPL37P23","chr19","+","RPL37P23"
1.57542791258622,8.84497288158981,160.074930035389,1.08962497675614e-36,1.06696077723961e-32,"ENSG00000196526","AFAP1","chr4","-","AFAP1"
-1.41439073624965,2.52906720555831,137.64192918798,8.72769639229847e-32,8.4772115058395e-28,"ENSG00000273064","RP11-474G23.3","chr2","+","RP11-474G23.3"
-1.31358589390539,0.786630811043374,70.7124307546855,4.13280188373748e-17,3.79678225835611e-13,"ENSG00000224509","AC010884.1","chr2","-","AC010884.1"
1.15605993669613,1.94245927800547,60.3027807547701,8.13324209480252e-15,7.34675758423512e-11,"ENSG00000214391","TUBAP2","chr11","+","TUBAP2"
-2.24154444912725,-1.52190621244926,64.4382968550678,9.96032194808799e-16,9.05990884398084e-12,"ENSG00000237338","FTCD-AS1","chr21","+","FTCD-AS1"
-2.37654014327506,-1.82145606942811,41.5678173232519,1.13852117703846e-10,9.77192726252111e-07,"ENSG00000240033","RP11-12K11.2","chr3","-","RP11-12K11.2"
-1.16701433784131,8.12826164764586,56.5902887001913,5.36762773627986e-14,4.81046797725401e-10,"ENSG00000059804","SLC2A3","chr12","-","SLC2A3"
-1.98996018500613,-1.70460587081763,35.7192350312821,2.27902665625098e-09,1.9150660992477e-05,"ENSG00000235300","THRA1/BTR","chr17","+","THRA1/BTR"
-4.26989770444207,0.90103046824681,79.771416429337,4.20329728013389e-19,3.90402251378835e-15,"ENSG00000115665","SLC5A7","chr2","+","SLC5A7"
2.52314430857094,6.92708967180284,177.166487176843,2.01427018357049e-40,1.98103472554158e-36,"ENSG00000113368","LMNB1","chr5","+","LMNB1"
-1.15763585383875,0.74102978822954,49.3793760531995,2.10951775796553e-12,1.85911800009502e-08,"ENSG00000266733","TBC1D29","chr17","+","TBC1D29"
-2.07375484179092,5.17738157936137,243.90808373983,5.52836692479426e-55,5.49409104986053e-51,"ENSG00000154258","ABCA9","chr17","-","ABCA9"
-1.17549586846416,2.25389905913543,33.8618100024203,5.91688225999394e-09,4.93172136370495e-05,"ENSG00000231233","CFAP58-AS1","chr10","-","CFAP58-AS1"
-1.50872138397112,0.036810757566762,93.2632080161593,4.57824061653921e-22,4.31773872545813e-18,"ENSG00000178404","CEP295NL","chr17","-","CEP295NL"
-1.75222038094111,4.02892776059448,91.237462822178,1.27424803777038e-21,1.19970452756081e-17,"ENSG00000050327","ARHGEF5","chr7","+","ARHGEF5"
-1.26145534366927,-0.477335780253029,33.3627545333753,7.64746200171817e-09,6.35809990822848e-05,"ENSG00000225399","RP11-3B7.1","chr3","+","RP11-3B7.1"
-1.26222874178763,0.0466737184276662,73.590571758599,9.61227234815707e-18,8.86828246840972e-14,"ENSG00000184224","C11orf72","chr11","-","C11ORF72"
-1.12942217794737,4.09262096728991,85.348361718895,2.50169174681808e-20,2.33958212162427e-16,"ENSG00000158887","MPZ","chr1","-","MPZ"
-5.60754318919698,1.6738767731356,67.9242677890082,1.69897213636933e-16,1.55387991592339e-12,"ENSG00000170477","KRT4","chr12","-","KRT4"
-1.07633116897982,5.60383105111734,79.2485593043445,5.47672839976394e-19,5.08295162782091e-15,"ENSG00000273151","RP11-449P15.2","chr7","-","RP11-449P15.2"
2.06444677299246,1.92335676454422,61.5620903517913,4.28999307981777e-15,3.88415973446701e-11,"ENSG00000139445","FOXN4","chr12","-","FOXN4"
-1.12273182919959,2.3404002165939,68.2651383684453,1.42925576324295e-16,1.3083407256726e-12,"ENSG00000272444","RP11-1017G21.6","chr14","+","RP11-1017G21.6"
-2.45431402195438,16.3092141858917,323.592178631006,2.39034385799418e-72,2.38604123904979e-68,"ENSG00000198727","MT-CYB","chrM","+","MT-CYB"
1.38845308384581,4.44138572187516,65.149160037838,6.94380385432626e-16,6.32441655052036e-12,"ENSG00000142731","PLK4","chr4","+","PLK4"
-1.7359067939813,0.728557011427587,83.4875240619191,6.41193534141446e-20,5.97977089940313e-16,"ENSG00000277299","RP11-837J7.4","chr12","+","RP11-837J7.4"
-1.76049611598771,-1.44706592855973,33.4194202953068,7.42785385436476e-09,6.17700326528973e-05,"ENSG00000170935","NCBP2L","chrX","+","NCBP2L"
-1.91535318257957,-1.59372723354539,39.4482159381707,3.36875371403028e-10,2.87017816435379e-06,"ENSG00000250514","RP11-96P7.1","chr16","+","RP11-96P7.1"
2.04487371311107,1.05189457332611,51.2752253628998,8.02824532825596e-13,7.11463100990043e-09,"ENSG00000179073","TAAR3","chr6","-","TAAR3"
2.73530733100619,3.80735484549514,98.9113601668952,2.64060280097326e-23,2.50513987728334e-19,"ENSG00000136492","BRIP1","chr17","-","BRIP1"
1.09202838098792,8.41285778608162,39.9590216940774,2.5934695555511e-10,2.21430430652953e-06,"ENSG00000177103","DSCAML1","chr11","-","DSCAML1"
1.320252049145,0.413332498254575,59.862953906301,1.01697787380377e-14,9.17720833320521e-11,"ENSG00000275263","RP11-1072A3.4","chr16","-","RP11-1072A3.4"
1.77461857232265,3.45416986323983,30.6249408405127,3.13043684744856e-08,0.000256351473437562,"ENSG00000132185","FCRLA","chr1","+","FCRLA"
-2.10143816202574,-1.87413829601276,31.686899427777,1.81139985146304e-08,0.000149368031751642,"ENSG00000259403","RP11-315L6.1","chr15","-","RP11-315L6.1"
-2.89396201195475,-0.664029078798424,205.933015690295,1.05975870208114e-46,1.04926709093054e-42,"ENSG00000156194","PPEF2","chr4","-","PPEF2"
-1.98171333451775,-1.35782458491988,45.153852213816,1.82147058647613e-11,1.58285793964776e-07,"ENSG00000162947","AC007364.1","chr2","-","AC007364.1"
-1.25569856636796,0.509493790497317,47.4484124289719,5.64706609313258e-12,4.94287695131895e-08,"ENSG00000255524","NPIPB8","chr16","+","NPIPB8"
-1.12541281422023,0.119831766750376,42.3368795772082,7.68300286241606e-11,6.61122396310902e-07,"ENSG00000270343","UNGP3","chr14","-","UNGP3"
-2.62869989198807,-1.65000997884589,49.0172247327627,2.53724597854907e-12,2.23404508411245e-08,"ENSG00000268235","TCP11X1","chrX","+","TCP11X1"
-1.35250260133917,0.82290033928505,111.710687958829,4.13447852036723e-26,3.96331110962402e-22,"ENSG00000229017","LINC01277","chr6","-","LINC01277"
1.75836329885354,8.33228446171846,278.143965146954,1.90573719927773e-62,1.89830482420055e-58,"ENSG00000161847","RAVER1","chr19","-","RAVER1"
-1.79983429185414,-1.25829315123801,41.8116553604614,1.00502524499732e-10,8.62914675354697e-07,"ENSG00000218073","RP1-13D10.2","chr6","+","RP1-13D10.2"
-4.51410498011125,1.89978829190432,229.188000530004,8.962464757508e-52,8.89793501125394e-48,"ENSG00000279305","RP11-316N24.2","chr3","-","RP11-316N24.2"
1.52512763498472,-0.14772628089373,40.310484365328,2.16643242639742e-10,1.85273301105507e-06,"ENSG00000231006","RPL7P32","chr7","+","RPL7P32"
-1.56673535192474,-1.26362935973169,37.6255893347537,8.57126283921723e-10,7.25214548826169e-06,"ENSG00000254180","AB015752.3","chr8","-","AB015752.3"
-3.16666529068604,8.08167593199174,186.738626495297,1.63775947567776e-42,1.61597727465124e-38,"ENSG00000198944","SOWAHA","chr5","+","SOWAHA"
-1.26273795641003,2.50911817983564,46.1815896653283,1.07785053596751e-11,9.38700031774108e-08,"ENSG00000148795","CYP17A1","chr10","-","CYP17A1"
-2.70814264409298,-1.12251261212497,59.7148483667368,1.09646170496522e-14,9.89008457878629e-11,"ENSG00000240405","LINC01212","chr3","+","LINC01212"
1.06048183764816,8.76129237525856,41.4090982330286,1.23481337468384e-10,1.05909943146633e-06,"ENSG00000185920","PTCH1","chr9","-","PTCH1"
4.09900737767794,1.51214612183114,42.8603290235629,5.87908502435382e-11,5.07071083350517e-07,"ENSG00000215474","SKOR2","chr18","-","SKOR2"
-2.27363577608645,-1.53183271836906,64.7485726529867,8.50912330575509e-16,7.74500403289828e-12,"ENSG00000274001","RP11-5G9.5","chr13","-","RP11-5G9.5"
1.29716962720855,6.73816081420792,129.337149870741,5.72239563240541e-30,5.53699001391548e-26,"ENSG00000153094","BCL2L11","chr2","+","BCL2L11"
1.30189817795382,6.47944851203493,135.307461036152,2.82803582833813e-31,2.74460877140215e-27,"ENSG00000196247","ZNF107","chr7","+","ZNF107"
-2.23566089734299,-1.80548354637676,35.5164796194609,2.52901860412234e-09,2.12336402002112e-05,"ENSG00000254160","CTD-2281E23.3","chr8","-","CTD-2281E23.3"
1.19817334978163,10.3556234846169,191.128563929592,1.80299140776473e-43,1.78099491259e-39,"ENSG00000105426","PTPRS","chr19","-","PTPRS"
1.27129761523411,4.08373752872746,28.3137000789738,1.03163272499587e-07,0.000835106690884157,"ENSG00000147145","LPAR4","chrX","+","LPAR4"
-1.06213377950293,6.28713129699644,89.3760323408739,3.26467892430176e-21,3.06847172095123e-17,"ENSG00000171813","PWWP2B","chr10","+","PWWP2B"
-1.82135704269317,7.30762067629276,236.686397316578,2.07605740762344e-53,2.06214782299236e-49,"ENSG00000240038","AMY2B","chr1","+","AMY2B"
1.06511560261223,7.92459424854023,159.010707971048,1.86123322129381e-36,1.82196120032452e-32,"ENSG00000205189","ZBTB10","chr8","+","ZBTB10"
-1.53874900989378,3.96465001531187,190.25680247415,2.79432428269435e-43,2.75911579673241e-39,"ENSG00000224934","RP11-441O15.3","chr10","+","RP11-441O15.3"
1.68168140363747,2.72071556658197,57.7451769413102,2.98370749458958e-14,2.68145792538766e-10,"ENSG00000089692","LAG3","chr12","+","LAG3"
-1.23450569318345,6.56792415761385,73.3032391330345,1.11185297216589e-17,1.02523962563417e-13,"ENSG00000165233","C9orf89","chr9","+","C9ORF89"
-1.95951614349162,-1.45061773185433,36.6509112118739,1.41292956641553e-09,1.19053445266173e-05,"ENSG00000258667","HIF1A-AS2","chr14","-","HIF1A-AS2"
-1.4201808773457,1.88113288470709,184.854056007076,4.22336770354438e-42,4.16297354538369e-38,"ENSG00000262410","RP11-388C12.8","chr17","+","RP11-388C12.8"
-2.19832970525324,-0.182215999504066,98.3392168389495,3.52515160939447e-23,3.34149121054502e-19,"ENSG00000279727","RP11-640L9.1","chr3","-","RP11-640L9.1"
1.02897631412719,8.48593893584226,118.676713389211,1.23268189532164e-27,1.18620978786802e-23,"ENSG00000142207","URB1","chr21","-","URB1"
-1.02597664329848,5.41856724515366,58.7841043435251,1.75957059353967e-14,1.58484523360118e-10,"ENSG00000261326","LINC01355","chr1","-","LINC01355"
1.07840469940027,8.27109469273525,111.971583129917,3.62468445599027e-26,3.47570992484907e-22,"ENSG00000104290","FZD3","chr8","+","FZD3"
-1.24354369157584,3.50278657893508,82.7543899496584,9.29092426267081e-20,8.6591414128092e-16,"ENSG00000274307","RP11-345J18.2","chr15","-","RP11-345J18.2"
-2.74054135993139,1.59392165642915,107.913027432381,2.80835302637127e-25,2.68253881078984e-21,"ENSG00000189001","SBSN","chr19","-","SBSN"
-1.70458522093596,0.0571098882253115,57.7674841813092,2.95006171379154e-14,2.65151546835583e-10,"ENSG00000267623","AC022153.1","chr19","+","AC022153.1"
1.01375275099968,7.99497207132109,87.1961403031872,9.82753959624781e-21,9.21331837148233e-17,"ENSG00000111728","ST8SIA1","chr12","-","ST8SIA1"
1.06307005774355,4.83458036732709,74.5119883671656,6.02711520584073e-18,5.5666436041145e-14,"ENSG00000189343","RPS2P46","chr17","-","RPS2P46"
2.69151139073499,1.81153924019415,33.2767477573239,7.99327028502451e-09,6.64000962576986e-05,"ENSG00000068781","STON1-GTF2A1L","chr2","+","STON1-GTF2A1L"
-1.75436611927086,7.02771839891174,74.4237736037004,6.30254322232294e-18,5.81976841149301e-14,"ENSG00000196972","SMIM10L2B","chrX","-","SMIM10L2B"
-1.35812062661356,2.59646375464946,38.5881037392994,5.23369542133192e-10,4.4434074127108e-06,"ENSG00000142959","BEST4","chr1","-","BEST4"
-1.28103064375051,-0.325563974944936,32.0657877167686,1.4903896595024e-08,0.000123091281978303,"ENSG00000127530","OR7C1","chr19","-","OR7C1"
1.16267513821097,4.86548989980972,31.5833865592468,1.91057141774938e-08,0.000157450190536727,"ENSG00000213809","KLRK1","chr12","-","KLRK1"
4.95812441466267,-0.243182658316924,178.901670536932,8.41848937986103e-41,8.28295170084527e-37,"ENSG00000238249","HMGN2P17","chr1","+","HMGN2P17"
-2.24989106386755,-1.56249465722282,34.7081243289228,3.83029756023096e-09,3.20442693888922e-05,"ENSG00000235643","RP1-69M21.2","chr1","+","RP1-69M21.2"
2.91610710719295,-1.4573147772813,29.3613462927609,6.00638087679236e-08,0.000489039530988434,"ENSG00000224406","RP11-48F14.1","chr3","-","RP11-48F14.1"
-2.09481225610608,-1.19818780623367,64.8124381335275,8.23775126204828e-16,7.49882497384255e-12,"ENSG00000233200","RP11-324I22.2","chr10","-","RP11-324I22.2"
1.0474227044787,8.20609994717475,157.080020998206,4.91659347663004e-36,4.81039505753483e-32,"ENSG00000059573","ALDH18A1","chr10","-","ALDH18A1"
-2.29449969802852,-1.74963532393128,32.7261581507287,1.06099732529473e-08,8.78824084541628e-05,"ENSG00000240692","RN7SL538P","chr1","+","RN7SL538P"
4.63785742859279,6.27400359313867,71.458107256009,2.83207739294776e-17,2.60466157829406e-13,"ENSG00000254139","CTD-2339F6.1","chr8","+","CTD-2339F6.1"
-1.35527568383694,0.97868324241209,30.8679806989052,2.76191241071333e-08,0.000226587294174922,"ENSG00000249106","RP11-806K15.1","chr4","+","RP11-806K15.1"
1.25018666751794,9.5364980975211,30.3901689997226,3.53314225061892e-08,0.000288869710410603,"ENSG00000136928","GABBR2","chr9","-","GABBR2"
-2.17282414753683,2.89529601721559,116.49117112535,3.71027271106895e-27,3.56631412987948e-23,"ENSG00000273203","AC006946.16","chr22","+","AC006946.16"
4.01769527128451,2.0626995406085,134.767771469804,3.71135463191034e-31,3.59964285748984e-27,"ENSG00000254919","RP11-698N11.2","chr11","-","RP11-698N11.2"
-2.2827098619096,-1.90713125654837,43.560199507089,4.11115866974714e-11,3.55656336519825e-07,"ENSG00000254082","CTD-2024D23.1","chr8","+","CTD-2024D23.1"
-1.28697755753565,0.252730487182198,48.3956860857903,3.4833363359872e-12,3.06080763843196e-08,"ENSG00000277702","CH17-13I23.3","chr1","-","CH17-13I23.3"
-1.87775687613575,-1.17064967072595,56.9950888477724,4.3690160029019e-14,3.91857045300271e-10,"ENSG00000227868","C1orf234","chr1","-","C1ORF234"
3.89286211434879,0.41816602783114,152.254593975043,5.57420348027073e-35,5.44655422057253e-31,"ENSG00000241431","RPL37P6","chr8","+","RPL37P6"
-1.59537207180677,7.17013608166817,70.2316130754675,5.27345252064814e-17,4.83944737819879e-13,"ENSG00000198597","ZNF536","chr19","+","ZNF536"
-1.06593856773748,6.24925356408755,99.1718740108873,2.31511748852554e-23,2.19704649661074e-19,"ENSG00000214765","SEPT7P2","chr7","-","SEPT7P2"
-1.53975732588169,11.800443734586,134.633003675504,3.97201658329228e-31,3.8512672791602e-27,"ENSG00000107331","ABCA2","chr9","-","ABCA2"
-1.96868937956744,6.82034061859201,182.691193678623,1.25270000933216e-41,1.23428531919497e-37,"ENSG00000188385","JAKMIP3","chr10","+","JAKMIP3"
-1.7163622713884,-0.124903217307574,98.8512392317272,2.72199709975341e-23,2.58181424911611e-19,"ENSG00000224543","SNRPGP15","chr19","+","SNRPGP15"
2.21272962166487,2.08597053150924,272.617440944362,3.05112080527003e-61,3.03861120996843e-57,"ENSG00000213790","OLA1P1","chr22","-","OLA1P1"
1.13583255920606,7.29982929504218,388.114759816466,2.12960397297125e-86,2.12768732939558e-82,"ENSG00000106638","TBL2","chr7","-","TBL2"
-1.42864541140796,3.71571172552061,137.995678740995,7.3035554783522e-32,7.09467379167133e-28,"ENSG00000114378","HYAL1","chr3","-","HYAL1"
1.2313712542769,7.51062043982469,257.457816507111,6.14697889935807e-58,6.11439991119148e-54,"ENSG00000153046","CDYL","chr6","+","CDYL"
2.30221244723083,13.1717009021632,181.096876657578,2.79210389523887e-41,2.74882628486267e-37,"ENSG00000106278","PTPRZ1","chr7","+","PTPRZ1"
-4.63929729634813,3.13253970870905,143.647014536742,4.24391260524146e-33,4.13399526876571e-29,"ENSG00000108342","CSF3","chr17","+","CSF3"
-1.33353021250081,3.39582603675667,32.6565044377106,1.09970784425165e-08,9.10558095040367e-05,"ENSG00000206538","VGLL3","chr3","-","VGLL3"
-1.5670859196648,-0.829897467670924,35.0848867978447,3.1564104171203e-09,2.64507192954681e-05,"ENSG00000234655","OR7E155P","chr13","-","OR7E155P"
-1.63334823104935,3.68948673220349,91.049137074627,1.40148265574281e-21,1.3192156238507e-17,"ENSG00000130762","ARHGEF16","chr1","+","ARHGEF16"
1.7012563124494,7.61034074213965,146.586742692542,9.66211430974267e-34,9.42249387486105e-30,"ENSG00000102996","MMP15","chr16","+","MMP15"
-1.48757848297409,-0.817528240625323,29.9883548910831,4.3464875894474e-08,0.000354716852174802,"ENSG00000277103","RP11-520B13.8","chr9","-","RP11-520B13.8"
-2.74951405693799,5.80350032408338,201.078222183884,1.21490625639802e-45,1.20178526882892e-41,"ENSG00000154099","DNAAF1","chr16","+","DNAAF1"
1.31348797320796,7.03228968156953,34.5303901984375,4.19647985221551e-09,3.50741786048172e-05,"ENSG00000187486","KCNJ11","chr11","-","KCNJ11"
-1.89645967097266,1.47396673196881,79.4766832490603,4.87950043328399e-19,4.53012820226086e-15,"ENSG00000186481","ANKRD20A5P","chr18","+","ANKRD20A5P"
-1.49208202316944,-0.271233236271325,50.2660684052283,1.34250914554268e-12,1.18610683008696e-08,"ENSG00000265888","DSCAS","chr18","+","DSCAS"
-1.90652356170062,1.10834640673981,46.4621241365484,9.34066148058692e-12,8.14132054647956e-08,"ENSG00000152785","BMP3","chr4","+","BMP3"
-1.5714747272023,-1.05867355255289,43.6771436479224,3.87268362996665e-11,3.35219495009913e-07,"ENSG00000274427","RP11-972P1.10","chr12","-","RP11-972P1.10"
-1.22400327556272,5.59406294618394,31.7857457038177,1.72151545400476e-08,0.000142025024955393,"ENSG00000124302","CHST8","chr19","+","CHST8"
1.57276153956159,6.68706767055011,134.341888590668,4.59927300917624e-31,4.45807532779453e-27,"ENSG00000253276","CCDC71L","chr7","-","CCDC71L"
3.04292708233366,-0.385413389904523,118.262286860428,1.51911236813919e-27,1.4613860981499e-23,"ENSG00000220157","HNRNPA1P12","chr5","-","HNRNPA1P12"
-1.26064634913074,7.81441073131848,79.7782879300246,4.18870443992575e-19,3.89088755424703e-15,"ENSG00000185201","IFITM2","chr11","+","IFITM2"
1.39055991759352,0.704206552376371,61.1497363137127,5.28948533091511e-15,4.78592632741199e-11,"ENSG00000281091","RP13-349O20.2","chrX","+","RP13-349O20.2"
-2.86087965966047,-1.590963092854,48.5825347412615,3.16676904773549e-12,2.78390666986427e-08,"ENSG00000277837","RP11-714M23.2","chr18","+","RP11-714M23.2"
-1.45631938910082,8.2172773231329,85.4308448020527,2.39948320050927e-20,2.24447658575637e-16,"ENSG00000101460","MAP1LC3A","chr20","+","MAP1LC3A"
-1.42899237004783,8.4084064834342,73.5195339890096,9.96451326253285e-18,9.19226348468656e-14,"ENSG00000189171","S100A13","chr1","-","S100A13"
1.22611487966614,1.06766120977321,30.0457162503138,4.21979679185682e-08,0.000344546408055109,"ENSG00000235934","AC007405.8","chr2","-","AC007405.8"
1.37305088266173,7.33397984636059,45.3196793852856,1.67358999534877e-11,1.45501914195622e-07,"ENSG00000171659","GPR34","chrX","+","GPR34"
-1.36648705769256,7.61447729769033,141.608612437318,1.1842986216055e-32,1.15232255882215e-28,"ENSG00000119699","TGFB3","chr14","-","TGFB3"
1.12481118975454,7.48122673313493,145.304238316637,1.84266916032606e-33,1.79568109673775e-29,"ENSG00000204498","NFKBIL1","chr6","+","NFKBIL1"
-2.06345688920307,-1.7294286183264,36.5958678962835,1.45339478337213e-09,1.22419442603434e-05,"ENSG00000253712","RP11-697M17.2","chr8","-","RP11-697M17.2"
-2.9610566785427,-0.740476179186051,131.097921734949,2.3568846460458e-30,2.28240709123075e-26,"ENSG00000270339","AC243756.1","chr1","-","AC243756.1"
1.1052239843368,8.97373126982848,121.154924201733,3.53426010623083e-28,3.4052596123534e-24,"ENSG00000137343","ATAT1","chr6","+","ATAT1"
-2.16725040241075,-1.67594950113932,42.4834563168111,7.12826078999898e-11,6.13600688803112e-07,"ENSG00000262470","TVP23CP2","chr16","+","TVP23CP2"
-2.07067001433136,2.39749533998976,161.434814431092,5.49752408064155e-37,5.38647409421259e-33,"ENSG00000255176","AP002954.3","chr11","+","AP002954.3"
1.30498000699498,9.77123690633479,274.513756906936,1.1781082426177e-61,1.17339580964723e-57,"ENSG00000197157","SND1","chr7","+","SND1"
-2.37619865529736,0.574081829278848,127.457463711308,1.47529155346685e-29,1.42601681558105e-25,"ENSG00000273214","RP5-1039K5.18","chr22","+","RP5-1039K5.18"
-2.30346147223409,2.37729403026394,88.8814711945434,4.19191383636832e-21,3.93704547511712e-17,"ENSG00000175591","P2RY2","chr11","+","P2RY2"
-1.86513235221759,2.89053343093762,132.510574320807,1.15688821681198e-30,1.12102468209081e-26,"ENSG00000132832","LINC01260","chr20","-","LINC01260"
