"","highExpGenes"
"ENSG00000006652",TRUE
"ENSG00000006659",FALSE
"ENSG00000006695",TRUE
"ENSG00000006704",TRUE
"ENSG00000006712",TRUE
"ENSG00000006715",TRUE
"ENSG00000006740",TRUE
"ENSG00000006744",TRUE
"ENSG00000006747",TRUE
"ENSG00000006756",TRUE
"ENSG00000006757",TRUE
"ENSG00000006788",FALSE
"ENSG00000006831",TRUE
"ENSG00000006837",TRUE
"ENSG00000007001",FALSE
"ENSG00000007038",TRUE
"ENSG00000007047",TRUE
"ENSG00000007062",TRUE
"ENSG00000007080",TRUE
"ENSG00000007129",TRUE
"ENSG00000007168",TRUE
"ENSG00000007171",TRUE
"ENSG00000007174",TRUE
"ENSG00000007202",TRUE
"ENSG00000007216",TRUE
"ENSG00000007237",TRUE
"ENSG00000007255",TRUE
"ENSG00000007264",TRUE
"ENSG00000007306",FALSE
"ENSG00000007312",TRUE
"ENSG00000007314",TRUE
"ENSG00000007341",TRUE
"ENSG00000007350",FALSE
"ENSG00000007372",TRUE
"ENSG00000007376",TRUE
"ENSG00000007384",TRUE
"ENSG00000007392",TRUE
"ENSG00000007402",TRUE
"ENSG00000007516",TRUE
"ENSG00000007520",TRUE
"ENSG00000007541",TRUE
"ENSG00000007545",TRUE
"ENSG00000007866",TRUE
"ENSG00000007908",TRUE
"ENSG00000007923",TRUE
"ENSG00000007933",TRUE
"ENSG00000007944",TRUE
"ENSG00000007952",FALSE
"ENSG00000007968",TRUE
"ENSG00000008018",TRUE
"ENSG00000008056",TRUE
"ENSG00000008083",TRUE
"ENSG00000008086",TRUE
"ENSG00000008118",FALSE
"ENSG00000008128",TRUE
"ENSG00000008130",TRUE
"ENSG00000008196",TRUE
"ENSG00000008197",FALSE
"ENSG00000008226",TRUE
"ENSG00000008256",TRUE
"ENSG00000008277",TRUE
"ENSG00000008282",TRUE
"ENSG00000008283",TRUE
"ENSG00000008294",TRUE
"ENSG00000008300",TRUE
"ENSG00000008311",TRUE
"ENSG00000008323",TRUE
"ENSG00000008324",TRUE
"ENSG00000008382",TRUE
"ENSG00000008394",TRUE
"ENSG00000008405",TRUE
"ENSG00000008438",FALSE
"ENSG00000008441",TRUE
"ENSG00000008513",TRUE
"ENSG00000008516",TRUE
"ENSG00000008517",TRUE
"ENSG00000008710",TRUE
"ENSG00000008735",TRUE
"ENSG00000008838",TRUE
"ENSG00000008853",TRUE
"ENSG00000008869",TRUE
"ENSG00000008952",TRUE
"ENSG00000008988",TRUE
"ENSG00000009307",TRUE
"ENSG00000009335",TRUE
"ENSG00000009413",TRUE
"ENSG00000009694",TRUE
"ENSG00000009709",FALSE
"ENSG00000009724",TRUE
"ENSG00000009765",TRUE
"ENSG00000009780",TRUE
"ENSG00000009790",TRUE
"ENSG00000009830",TRUE
"ENSG00000009844",TRUE
"ENSG00000009950",TRUE
"ENSG00000009954",TRUE
"ENSG00000010017",TRUE
"ENSG00000010030",TRUE
"ENSG00000010072",TRUE
"ENSG00000010165",TRUE
"ENSG00000010219",TRUE
"ENSG00000010244",TRUE
"ENSG00000010256",TRUE
"ENSG00000010270",TRUE
"ENSG00000010278",TRUE
"ENSG00000010282",FALSE
"ENSG00000010292",TRUE
"ENSG00000010295",TRUE
"ENSG00000010310",TRUE
"ENSG00000010318",TRUE
"ENSG00000010319",TRUE
"ENSG00000010322",TRUE
"ENSG00000010327",TRUE
"ENSG00000010361",TRUE
"ENSG00000010379",FALSE
"ENSG00000010404",TRUE
"ENSG00000010438",FALSE
"ENSG00000010539",TRUE
"ENSG00000010610",TRUE
"ENSG00000010626",TRUE
"ENSG00000010671",TRUE
"ENSG00000010704",TRUE
"ENSG00000010803",TRUE
"ENSG00000010810",TRUE
"ENSG00000010818",TRUE
"ENSG00000010932",TRUE
"ENSG00000011007",TRUE
"ENSG00000011009",TRUE
"ENSG00000011021",TRUE
"ENSG00000011028",TRUE
"ENSG00000011052",TRUE
"ENSG00000011083",FALSE
"ENSG00000011105",TRUE
"ENSG00000011114",TRUE
"ENSG00000011132",TRUE
"ENSG00000011143",TRUE
"ENSG00000011198",TRUE
"ENSG00000011201",TRUE
"ENSG00000011243",TRUE
"ENSG00000011258",TRUE
"ENSG00000011260",TRUE
"ENSG00000011275",TRUE
"ENSG00000011295",TRUE
"ENSG00000011304",TRUE
"ENSG00000011332",FALSE
"ENSG00000011347",TRUE
"ENSG00000011376",TRUE
"ENSG00000011405",TRUE
"ENSG00000011422",TRUE
"ENSG00000011426",TRUE
"ENSG00000011451",TRUE
"ENSG00000011454",TRUE
"ENSG00000011465",TRUE
"ENSG00000011478",TRUE
"ENSG00000011485",TRUE
"ENSG00000011523",TRUE
"ENSG00000011566",TRUE
"ENSG00000011590",FALSE
"ENSG00000011600",TRUE
"ENSG00000011638",TRUE
"ENSG00000011677",FALSE
"ENSG00000012048",TRUE
"ENSG00000012061",TRUE
"ENSG00000012124",TRUE
"ENSG00000012171",TRUE
"ENSG00000012174",TRUE
"ENSG00000012211",TRUE
"ENSG00000012223",TRUE
"ENSG00000012232",TRUE
"ENSG00000012504",FALSE
"ENSG00000012660",TRUE
"ENSG00000012779",TRUE
"ENSG00000012817",FALSE
"ENSG00000012822",TRUE
"ENSG00000012963",TRUE
"ENSG00000012983",TRUE
"ENSG00000013016",TRUE
"ENSG00000013275",TRUE
"ENSG00000013288",TRUE
"ENSG00000013293",FALSE
"ENSG00000013297",TRUE
"ENSG00000013306",TRUE
"ENSG00000013364",TRUE
"ENSG00000013374",TRUE
"ENSG00000013375",TRUE
"ENSG00000013392",TRUE
"ENSG00000013441",TRUE
"ENSG00000013503",TRUE
"ENSG00000013523",TRUE
"ENSG00000013561",TRUE
"ENSG00000013563",TRUE
"ENSG00000013573",TRUE
"ENSG00000013583",TRUE
"ENSG00000013588",TRUE
"ENSG00000013619",TRUE
"ENSG00000013725",TRUE
"ENSG00000013810",TRUE
"ENSG00000014123",TRUE
"ENSG00000014138",TRUE
"ENSG00000014164",TRUE
"ENSG00000014216",TRUE
"ENSG00000014257",TRUE
"ENSG00000014641",TRUE
"ENSG00000014824",TRUE
"ENSG00000014914",TRUE
"ENSG00000014919",TRUE
"ENSG00000015133",TRUE
"ENSG00000015153",TRUE
"ENSG00000015171",TRUE
"ENSG00000015285",TRUE
"ENSG00000015413",TRUE
"ENSG00000015475",TRUE
"ENSG00000015479",TRUE
"ENSG00000015520",TRUE
"ENSG00000015532",TRUE
"ENSG00000015568",TRUE
"ENSG00000015592",FALSE
"ENSG00000015676",TRUE
"ENSG00000016082",FALSE
"ENSG00000016391",TRUE
"ENSG00000016402",TRUE
"ENSG00000016490",FALSE
"ENSG00000016602",TRUE
"ENSG00000016864",TRUE
"ENSG00000017260",TRUE
"ENSG00000017427",TRUE
"ENSG00000017483",TRUE
"ENSG00000017797",TRUE
"ENSG00000018189",TRUE
"ENSG00000018236",TRUE
"ENSG00000018280",TRUE
"ENSG00000018408",TRUE
"ENSG00000018510",TRUE
"ENSG00000018607",FALSE
"ENSG00000018610",TRUE
"ENSG00000018625",TRUE
"ENSG00000018699",TRUE
"ENSG00000018869",TRUE
"ENSG00000019102",TRUE
"ENSG00000019144",TRUE
"ENSG00000019169",TRUE
"ENSG00000019186",FALSE
"ENSG00000019485",TRUE
"ENSG00000019505",TRUE
"ENSG00000019549",TRUE
"ENSG00000019582",TRUE
"ENSG00000019991",TRUE
"ENSG00000019995",TRUE
"ENSG00000020129",TRUE
"ENSG00000020181",TRUE
"ENSG00000020219",FALSE
"ENSG00000020256",TRUE
"ENSG00000020426",TRUE
"ENSG00000020577",TRUE
"ENSG00000020633",TRUE
"ENSG00000020922",TRUE
"ENSG00000021300",TRUE
"ENSG00000021355",TRUE
"ENSG00000021461",FALSE
"ENSG00000021488",FALSE
"ENSG00000021574",TRUE
"ENSG00000021645",TRUE
"ENSG00000021762",TRUE
"ENSG00000021776",TRUE
"ENSG00000021826",TRUE
"ENSG00000021852",FALSE
"ENSG00000022267",TRUE
"ENSG00000022277",TRUE
"ENSG00000022355",FALSE
"ENSG00000022556",TRUE
"ENSG00000022567",TRUE
"ENSG00000022840",TRUE
"ENSG00000022976",TRUE
"ENSG00000023041",TRUE
"ENSG00000023171",TRUE
"ENSG00000023191",TRUE
"ENSG00000023228",TRUE
"ENSG00000023287",TRUE
"ENSG00000023318",TRUE
"ENSG00000023330",TRUE
"ENSG00000023445",TRUE
"ENSG00000023516",TRUE
"ENSG00000023572",TRUE
"ENSG00000023608",TRUE
"ENSG00000023697",TRUE
"ENSG00000023734",TRUE
"ENSG00000023839",TRUE
"ENSG00000023892",TRUE
"ENSG00000023902",TRUE
"ENSG00000023909",TRUE
"ENSG00000024048",TRUE
"ENSG00000024422",TRUE
"ENSG00000024526",TRUE
"ENSG00000024862",TRUE
"ENSG00000025039",TRUE
"ENSG00000025156",TRUE
"ENSG00000025293",TRUE
"ENSG00000025423",TRUE
"ENSG00000025434",TRUE
"ENSG00000025708",TRUE
"ENSG00000025770",TRUE
"ENSG00000025772",TRUE
"ENSG00000025796",TRUE
"ENSG00000025800",TRUE
"ENSG00000026025",TRUE
"ENSG00000026036",TRUE
"ENSG00000026103",TRUE
"ENSG00000026297",TRUE
"ENSG00000026508",TRUE
"ENSG00000026559",TRUE
"ENSG00000026652",TRUE
"ENSG00000026751",TRUE
"ENSG00000026950",TRUE
"ENSG00000027001",TRUE
"ENSG00000027075",TRUE
"ENSG00000027644",TRUE
"ENSG00000027697",TRUE
"ENSG00000027847",TRUE
"ENSG00000027869",TRUE
"ENSG00000028116",TRUE
"ENSG00000028137",TRUE
"ENSG00000028203",TRUE
"ENSG00000028277",TRUE
"ENSG00000028310",TRUE
"ENSG00000028528",TRUE
"ENSG00000028839",TRUE
"ENSG00000029153",TRUE
"ENSG00000029363",TRUE
"ENSG00000029364",TRUE
"ENSG00000029534",TRUE
"ENSG00000029559",TRUE
"ENSG00000029639",TRUE
"ENSG00000029725",TRUE
"ENSG00000029993",TRUE
"ENSG00000030066",TRUE
"ENSG00000030110",TRUE
"ENSG00000030304",FALSE
"ENSG00000030419",TRUE
"ENSG00000030582",TRUE
"ENSG00000031003",TRUE
"ENSG00000031081",TRUE
"ENSG00000031691",TRUE
"ENSG00000031698",TRUE
"ENSG00000031823",TRUE
"ENSG00000032219",TRUE
"ENSG00000032389",TRUE
"ENSG00000032444",TRUE
"ENSG00000032742",TRUE
"ENSG00000033011",TRUE
"ENSG00000033030",TRUE
"ENSG00000033050",TRUE
"ENSG00000033100",TRUE
"ENSG00000033122",FALSE
"ENSG00000033170",TRUE
"ENSG00000033178",TRUE
"ENSG00000033327",TRUE
"ENSG00000033627",TRUE
"ENSG00000033800",TRUE
"ENSG00000033867",TRUE
"ENSG00000034053",TRUE
"ENSG00000034152",TRUE
"ENSG00000034239",TRUE
"ENSG00000034510",TRUE
"ENSG00000034533",TRUE
"ENSG00000034677",TRUE
"ENSG00000034693",TRUE
"ENSG00000034713",TRUE
"ENSG00000034971",TRUE
"ENSG00000035115",TRUE
"ENSG00000035141",TRUE
"ENSG00000035403",TRUE
"ENSG00000035499",TRUE
"ENSG00000035664",TRUE
"ENSG00000035681",TRUE
"ENSG00000035687",TRUE
"ENSG00000035720",TRUE
"ENSG00000035862",TRUE
"ENSG00000035928",TRUE
"ENSG00000036054",TRUE
"ENSG00000036257",TRUE
"ENSG00000036448",TRUE
"ENSG00000036473",FALSE
"ENSG00000036530",TRUE
"ENSG00000036549",TRUE
"ENSG00000036565",FALSE
"ENSG00000036672",TRUE
"ENSG00000036828",FALSE
"ENSG00000037042",TRUE
"ENSG00000037241",TRUE
"ENSG00000037280",TRUE
"ENSG00000037474",TRUE
"ENSG00000037637",TRUE
"ENSG00000037749",TRUE
"ENSG00000037757",TRUE
"ENSG00000037897",TRUE
"ENSG00000037965",TRUE
"ENSG00000038002",TRUE
"ENSG00000038210",TRUE
"ENSG00000038219",TRUE
"ENSG00000038274",TRUE
"ENSG00000038295",TRUE
"ENSG00000038358",TRUE
"ENSG00000038382",TRUE
"ENSG00000038427",TRUE
"ENSG00000038532",TRUE
"ENSG00000038945",TRUE
"ENSG00000039068",TRUE
"ENSG00000039123",TRUE
"ENSG00000039139",TRUE
"ENSG00000039319",TRUE
"ENSG00000039523",TRUE
"ENSG00000039537",TRUE
"ENSG00000039560",TRUE
"ENSG00000039600",FALSE
"ENSG00000039650",TRUE
"ENSG00000039987",FALSE
"ENSG00000040199",TRUE
"ENSG00000040275",TRUE
"ENSG00000040341",TRUE
"ENSG00000040487",TRUE
"ENSG00000040531",TRUE
"ENSG00000040608",TRUE
"ENSG00000040633",TRUE
"ENSG00000040731",FALSE
"ENSG00000040933",TRUE
"ENSG00000041353",TRUE
"ENSG00000041357",TRUE
"ENSG00000041515",TRUE
"ENSG00000041802",TRUE
"ENSG00000041880",TRUE
"ENSG00000041982",TRUE
"ENSG00000041988",TRUE
"ENSG00000042062",TRUE
"ENSG00000042088",TRUE
"ENSG00000042286",TRUE
"ENSG00000042304",FALSE
"ENSG00000042317",TRUE
"ENSG00000042429",TRUE
"ENSG00000042445",TRUE
"ENSG00000042493",TRUE
"ENSG00000042753",TRUE
"ENSG00000042781",FALSE
"ENSG00000042813",FALSE
"ENSG00000042832",TRUE
"ENSG00000042980",TRUE
"ENSG00000043039",TRUE
"ENSG00000043093",TRUE
"ENSG00000043143",TRUE
"ENSG00000043355",TRUE
"ENSG00000043462",TRUE
"ENSG00000043514",TRUE
"ENSG00000043591",TRUE
"ENSG00000044012",FALSE
"ENSG00000044090",TRUE
"ENSG00000044115",TRUE
"ENSG00000044446",TRUE
"ENSG00000044459",TRUE
"ENSG00000044524",TRUE
"ENSG00000044574",TRUE
"ENSG00000046604",TRUE
"ENSG00000046647",TRUE
"ENSG00000046651",TRUE
"ENSG00000046653",TRUE
"ENSG00000046774",FALSE
"ENSG00000046889",TRUE
"ENSG00000047056",TRUE
"ENSG00000047188",TRUE
"ENSG00000047230",TRUE
"ENSG00000047249",TRUE
"ENSG00000047315",TRUE
"ENSG00000047346",TRUE
"ENSG00000047365",TRUE
"ENSG00000047410",TRUE
"ENSG00000047457",TRUE
"ENSG00000047578",TRUE
"ENSG00000047579",TRUE
"ENSG00000047597",TRUE
"ENSG00000047617",TRUE
"ENSG00000047621",TRUE
"ENSG00000047634",TRUE
"ENSG00000047644",TRUE
"ENSG00000047648",TRUE
"ENSG00000047662",TRUE
"ENSG00000047849",TRUE
"ENSG00000047932",TRUE
"ENSG00000047936",FALSE
"ENSG00000048028",TRUE
"ENSG00000048052",TRUE
"ENSG00000048140",TRUE
"ENSG00000048162",TRUE
"ENSG00000048342",TRUE
"ENSG00000048392",TRUE
"ENSG00000048405",TRUE
"ENSG00000048462",TRUE
"ENSG00000048471",TRUE
"ENSG00000048540",TRUE
"ENSG00000048544",TRUE
"ENSG00000048545",FALSE
"ENSG00000048649",TRUE
"ENSG00000048707",TRUE
"ENSG00000048740",TRUE
"ENSG00000048828",TRUE
"ENSG00000048991",TRUE
"ENSG00000049089",TRUE
"ENSG00000049130",TRUE
"ENSG00000049167",TRUE
"ENSG00000049192",TRUE
"ENSG00000049239",TRUE
"ENSG00000049245",TRUE
"ENSG00000049246",TRUE
"ENSG00000049247",FALSE
"ENSG00000049249",TRUE
"ENSG00000049283",TRUE
"ENSG00000049323",TRUE
"ENSG00000049449",TRUE
"ENSG00000049540",TRUE
"ENSG00000049541",TRUE
"ENSG00000049618",TRUE
"ENSG00000049656",TRUE
"ENSG00000049759",TRUE
"ENSG00000049768",TRUE
"ENSG00000049769",TRUE
"ENSG00000049860",TRUE
"ENSG00000049883",TRUE
"ENSG00000050030",TRUE
"ENSG00000050130",TRUE
"ENSG00000050165",TRUE
"ENSG00000050327",TRUE
"ENSG00000050344",TRUE
"ENSG00000050393",TRUE
"ENSG00000050405",TRUE
"ENSG00000050426",TRUE
"ENSG00000050438",TRUE
"ENSG00000050555",TRUE
"ENSG00000050628",TRUE
"ENSG00000050730",FALSE
"ENSG00000050748",TRUE
"ENSG00000050767",TRUE
"ENSG00000050820",TRUE
"ENSG00000051009",TRUE
"ENSG00000051108",TRUE
"ENSG00000051128",TRUE
"ENSG00000051180",TRUE
"ENSG00000051341",TRUE
"ENSG00000051382",TRUE
"ENSG00000051523",TRUE
"ENSG00000051596",TRUE
"ENSG00000051620",TRUE
"ENSG00000051825",TRUE
"ENSG00000052126",TRUE
"ENSG00000052344",TRUE
"ENSG00000052723",TRUE
"ENSG00000052749",TRUE
"ENSG00000052795",TRUE
"ENSG00000052802",TRUE
"ENSG00000052841",TRUE
"ENSG00000052850",TRUE
"ENSG00000053108",TRUE
"ENSG00000053254",TRUE
"ENSG00000053328",FALSE
"ENSG00000053371",TRUE
"ENSG00000053372",TRUE
"ENSG00000053438",TRUE
"ENSG00000053501",TRUE
"ENSG00000053524",FALSE
"ENSG00000053702",TRUE
"ENSG00000053747",TRUE
"ENSG00000053770",TRUE
"ENSG00000053900",TRUE
"ENSG00000053918",TRUE
"ENSG00000054116",TRUE
"ENSG00000054118",TRUE
"ENSG00000054148",TRUE
"ENSG00000054179",TRUE
"ENSG00000054219",TRUE
"ENSG00000054267",TRUE
"ENSG00000054277",TRUE
"ENSG00000054282",TRUE
"ENSG00000054356",TRUE
"ENSG00000054392",TRUE
"ENSG00000054523",TRUE
"ENSG00000054598",TRUE
"ENSG00000054611",TRUE
"ENSG00000054654",TRUE
"ENSG00000054690",TRUE
"ENSG00000054793",TRUE
"ENSG00000054796",FALSE
"ENSG00000054803",TRUE
"ENSG00000054938",TRUE
"ENSG00000054965",TRUE
"ENSG00000054967",TRUE
"ENSG00000054983",TRUE
"ENSG00000055044",TRUE
"ENSG00000055070",TRUE
"ENSG00000055118",TRUE
"ENSG00000055130",TRUE
"ENSG00000055147",TRUE
"ENSG00000055163",TRUE
"ENSG00000055208",TRUE
"ENSG00000055211",TRUE
"ENSG00000055332",TRUE
"ENSG00000055483",TRUE
"ENSG00000055609",TRUE
"ENSG00000055732",TRUE
"ENSG00000055813",TRUE
"ENSG00000055917",TRUE
"ENSG00000055950",TRUE
"ENSG00000055955",TRUE
"ENSG00000055957",FALSE
"ENSG00000056050",TRUE
"ENSG00000056097",TRUE
"ENSG00000056277",TRUE
"ENSG00000056291",FALSE
"ENSG00000056487",TRUE
"ENSG00000056558",TRUE
"ENSG00000056586",TRUE
"ENSG00000056736",TRUE
"ENSG00000056972",TRUE
"ENSG00000056998",TRUE
"ENSG00000057019",TRUE
"ENSG00000057149",FALSE
"ENSG00000057252",TRUE
"ENSG00000057294",TRUE
"ENSG00000057468",FALSE
"ENSG00000057593",TRUE
"ENSG00000057608",TRUE
"ENSG00000057657",TRUE
"ENSG00000057663",TRUE
"ENSG00000057704",TRUE
"ENSG00000057757",TRUE
"ENSG00000057935",TRUE
"ENSG00000058056",TRUE
"ENSG00000058063",TRUE
"ENSG00000058085",TRUE
"ENSG00000058091",TRUE
"ENSG00000058262",TRUE
"ENSG00000058272",TRUE
"ENSG00000058335",TRUE
"ENSG00000058404",TRUE
"ENSG00000058453",TRUE
"ENSG00000058600",TRUE
"ENSG00000058668",TRUE
"ENSG00000058673",TRUE
"ENSG00000058729",TRUE
"ENSG00000058799",TRUE
"ENSG00000058804",TRUE
"ENSG00000058866",TRUE
"ENSG00000059122",TRUE
"ENSG00000059145",TRUE
"ENSG00000059377",TRUE
"ENSG00000059378",TRUE
"ENSG00000059573",TRUE
"ENSG00000059588",TRUE
"ENSG00000059691",TRUE
"ENSG00000059728",TRUE
"ENSG00000059758",TRUE
"ENSG00000059769",TRUE
"ENSG00000059804",TRUE
"ENSG00000059915",TRUE
"ENSG00000060069",TRUE
"ENSG00000060138",TRUE
"ENSG00000060140",TRUE
"ENSG00000060237",TRUE
"ENSG00000060303",FALSE
"ENSG00000060339",TRUE
"ENSG00000060491",TRUE
"ENSG00000060558",TRUE
"ENSG00000060566",FALSE
"ENSG00000060642",TRUE
"ENSG00000060656",TRUE
"ENSG00000060688",TRUE
"ENSG00000060709",FALSE
"ENSG00000060718",TRUE
"ENSG00000060749",TRUE
"ENSG00000060762",TRUE
"ENSG00000060971",TRUE
"ENSG00000060982",TRUE
"ENSG00000061273",TRUE
"ENSG00000061337",TRUE
"ENSG00000061455",TRUE
"ENSG00000061492",FALSE
"ENSG00000061656",TRUE
"ENSG00000061676",TRUE
"ENSG00000061794",TRUE
"ENSG00000061918",TRUE
"ENSG00000061936",TRUE
"ENSG00000061938",TRUE
"ENSG00000061987",TRUE
"ENSG00000062038",TRUE
"ENSG00000062096",FALSE
"ENSG00000062194",TRUE
"ENSG00000062282",TRUE
"ENSG00000062370",TRUE
"ENSG00000062485",TRUE
"ENSG00000062524",TRUE
"ENSG00000062582",TRUE
"ENSG00000062598",TRUE
"ENSG00000062650",TRUE
"ENSG00000062716",TRUE
"ENSG00000062725",TRUE
"ENSG00000062822",TRUE
"ENSG00000063015",FALSE
"ENSG00000063046",TRUE
"ENSG00000063127",TRUE
"ENSG00000063169",TRUE
"ENSG00000063176",TRUE
"ENSG00000063177",TRUE
"ENSG00000063180",TRUE
"ENSG00000063241",TRUE
"ENSG00000063244",TRUE
"ENSG00000063245",TRUE
"ENSG00000063322",TRUE
"ENSG00000063438",TRUE
"ENSG00000063515",FALSE
"ENSG00000063587",TRUE
"ENSG00000063601",TRUE
"ENSG00000063660",TRUE
"ENSG00000063761",TRUE
"ENSG00000063854",TRUE
"ENSG00000063978",TRUE
"ENSG00000064012",TRUE
"ENSG00000064042",TRUE
"ENSG00000064102",TRUE
"ENSG00000064115",TRUE
"ENSG00000064195",TRUE
"ENSG00000064199",TRUE
"ENSG00000064201",TRUE
"ENSG00000064205",TRUE
"ENSG00000064218",TRUE
"ENSG00000064225",TRUE
"ENSG00000064270",TRUE
"ENSG00000064300",TRUE
"ENSG00000064309",TRUE
"ENSG00000064313",TRUE
"ENSG00000064393",TRUE
"ENSG00000064419",TRUE
"ENSG00000064489",TRUE
"ENSG00000064490",TRUE
"ENSG00000064545",TRUE
"ENSG00000064547",TRUE
"ENSG00000064601",TRUE
"ENSG00000064607",TRUE
"ENSG00000064651",TRUE
"ENSG00000064652",TRUE
"ENSG00000064655",TRUE
"ENSG00000064666",TRUE
"ENSG00000064687",TRUE
"ENSG00000064692",TRUE
"ENSG00000064703",TRUE
"ENSG00000064726",TRUE
"ENSG00000064763",TRUE
"ENSG00000064787",TRUE
"ENSG00000064835",FALSE
"ENSG00000064886",TRUE
"ENSG00000064932",TRUE
"ENSG00000064933",TRUE
"ENSG00000064961",TRUE
"ENSG00000064989",TRUE
"ENSG00000064995",TRUE
"ENSG00000064999",TRUE
"ENSG00000065000",TRUE
"ENSG00000065029",TRUE
"ENSG00000065054",TRUE
"ENSG00000065057",TRUE
"ENSG00000065060",TRUE
"ENSG00000065135",TRUE
"ENSG00000065150",TRUE
"ENSG00000065154",TRUE
"ENSG00000065183",TRUE
"ENSG00000065243",TRUE
"ENSG00000065268",TRUE
"ENSG00000065308",TRUE
"ENSG00000065320",TRUE
"ENSG00000065325",FALSE
"ENSG00000065328",TRUE
"ENSG00000065357",TRUE
"ENSG00000065361",TRUE
"ENSG00000065371",TRUE
"ENSG00000065413",TRUE
"ENSG00000065427",TRUE
"ENSG00000065457",TRUE
"ENSG00000065485",TRUE
"ENSG00000065491",TRUE
"ENSG00000065518",TRUE
